,Titles,male,plural,female,Author
0,A Christmas Carol,92,82,33,Charles Dickens
1,A Tale of Two Cities,360,321,147,Charles Dickens
2,Barnaby Rudge,548,675,200,Charles Dickens
3,Bleak House,671,514,383,Charles Dickens
4,David Copperfield,578,407,431,Charles Dickens
5,Dombey and Son,608,505,419,Charles Dickens
6,Great Expectations,414,212,140,Charles Dickens
7,Hard Times,202,197,190,Charles Dickens
8,Little Dorrit,666,628,479,Charles Dickens
9,Martin Chuzzlewit,700,707,344,Charles Dickens
10,Nicholas Nickleby,779,627,352,Charles Dickens
11,Old Curiosity,450,521,243,Charles Dickens
12,Oliver Twist,363,343,132,Charles Dickens
13,Our Mutual Friend,721,519,404,Charles Dickens
14,The Battle of Life,54,56,61,Charles Dickens
15,The Chimes,84,64,46,Charles Dickens
16,The Cricket,91,60,61,Charles Dickens
17,The Haunted Man,95,51,55,Charles Dickens
18,The Pickwick Papers,827,642,232,Charles Dickens
