,Titles,male,female,plural,Author
0,A Son at the Front,181,152,273,Edith Wharton
1,Summer,85,83,119,Edith Wharton
2,The Age of Innocence,194,193,278,Edith Wharton
3,The Children,141,168,218,Edith Wharton
4,The Custom of the Country,258,188,318,Edith Wharton
5,The Fruit of the Tree,190,146,252,Edith Wharton
6,The Glimpses of the Moon,87,104,216,Edith Wharton
7,The House of Mirth,156,162,237,Edith Wharton
8,The Mother Recompense,113,110,129,Edith Wharton
9,The Reef,106,122,165,Edith Wharton
10,The Valley of Decision,373,180,425,Edith Wharton
11,Twilight Sleep,154,118,151,Edith Wharton
