,Titles,Total Words,Unique Words
0,A Christmas Carol,15930,4351
1,A Tale of Two Cities,63521,9953
2,Barnaby Rudge,120438,13385
3,Bleak House,164357,17541
4,David Copperfield,161303,14773
5,Dombey and Son,171291,17656
6,Great Expectations,82842,11722
7,Hard Times,48715,9395
8,Little Dorrit,157570,15651
9,Martin Chuzzlewit,160157,16188
10,Nicholas Nickleby,158363,15330
11,Old curiosity shop,103559,12512
12,Oliver Twist,76804,11137
13,Our Mutual Friend,154104,17112
14,The Battle of Life,16726,4159
15,The Chimes,14637,4320
16,The Cricket on the Hearth,14812,4363
17,The Haunted Man,15688,4459
18,The Pickwick Papers,155711,16015
